OG	SAMP	assembly	size
OG230	OG230.ilmn.230607	OG230.ilmn.230607.v129mh.fna	0 B
OG231	OG231.ilmn.230324	OG231.ilmn.230324.v129mh.fna	918.846 MiB
OG232	OG232.ilmn.230324	OG232.ilmn.230324.v129mh.fna	949.366 MiB
OG233	OG233.ilmn.230324	OG233.ilmn.230324.v129mh.fna	1.707 GiB
OG234	OG234.ilmn.230324	OG234.ilmn.230324.v129mh.fna	1.602 GiB
OG235	OG235.ilmn.230324	OG235.ilmn.230324.v129mh.fna	1.115 GiB
OG236	OG236.ilmn.230324	OG236.ilmn.230324.v129mh.fna	1.005 GiB
OG237	OG237.ilmn.230324	OG237.ilmn.230324.v129mh.fna	922.685 MiB
OG238	OG238.ilmn.230324	OG238.ilmn.230324.v129mh.fna	718.023 MiB
OG239	OG239.ilmn.230324	OG239.ilmn.230324.v129mh.fna	844.912 MiB
OG240	OG240.ilmn.230324	OG240.ilmn.230324.v129mh.fna	826.057 MiB
OG241	OG241.ilmn.230324	OG241.ilmn.230324.v129mh.fna	639.407 MiB
OG242	OG242.ilmn.230324	OG242.ilmn.230324.v129mh.fna	767.127 MiB
OG243	OG243.ilmn.230324	OG243.ilmn.230324.v129mh.fna	768.371 MiB
OG244	OG244.ilmn.230324	OG244.ilmn.230324.v129mh.fna	684.603 MiB
OG245	OG245.ilmn.230607	OG245.ilmn.230607.v129mh.fna	0 B
OG246	OG246.ilmn.230324	OG246.ilmn.230324.v129mh.fna	720.082 MiB
OG247	OG247.ilmn.230324	OG247.ilmn.230324.v129mh.fna	710.708 MiB
OG248	OG248.ilmn.230324	OG248.ilmn.230324.v129mh.fna	713.405 MiB
OG249	OG249.ilmn.230324	OG249.ilmn.230324.v129mh.fna	1.169 GiB
OG250	OG250.ilmn.230324	OG250.ilmn.230324.v129mh.fna	1.086 GiB
OG251	OG251.ilmn.230324	OG251.ilmn.230324.v129mh.fna	626.253 MiB
OG252	OG252.ilmn.230324	OG252.ilmn.230324.v129mh.fna	881.401 MiB
OG253	OG253.ilmn.230324	OG253.ilmn.230324.v129mh.fna	1.110 GiB
OG254	OG254.ilmn.230324	OG254.ilmn.230324.v129mh.fna	963.098 MiB
OG255	OG255.ilmn.230324	OG255.ilmn.230324.v129mh.fna	1.081 GiB
OG256	OG256.ilmn.230324	OG256.ilmn.230324.v129mh.fna	678.927 MiB
OG257	OG257.ilmn.230324	OG257.ilmn.230324.v129mh.fna	600.355 MiB
OG258	OG258.ilmn.230324	OG258.ilmn.230324.v129mh.fna	1.017 GiB
OG259	OG259.ilmn.221209	OG259.ilmn.221209.v129mh.fna	0 B
OG259	OG259.ilmn.230419	OG259.ilmn.230419.v129mh.fna	638.571 MiB
OG260	OG260.ilmn.221209	OG260.ilmn.221209.v129mh.fna	0 B
OG260	OG260.ilmn.230419	OG260.ilmn.230419.v129mh.fna	960.748 MiB
OG261	OG261.ilmn.221209	OG261.ilmn.221209.v129mh.fna	0 B
OG261	OG261.ilmn.230419	OG261.ilmn.230419.v129mh.fna	545.704 MiB
OG262	OG262.ilmn.221209	OG262.ilmn.221209.v129mh.fna	0 B
OG262	OG262.ilmn.230419	OG262.ilmn.230419.v129mh.fna	59.191 MiB
OG263	OG263.ilmn.221209	OG263.ilmn.221209.v129mh.fna	0 B
OG263	OG263.ilmn.230419	OG263.ilmn.230419.v129mh.fna	1.641 GiB
OG264	OG264.ilmn.221209	OG264.ilmn.221209.v129mh.fna	0 B
OG265	OG265.ilmn.221209	OG265.ilmn.221209.v129mh.fna	0 B
OG265	OG265.ilmn.230419	OG265.ilmn.230419.v129mh.fna	0 B
OG266	OG266.ilmn.221209	OG266.ilmn.221209.v129mh.fna	0 B
OG266	OG266.ilmn.230419	OG266.ilmn.230419.v129mh.fna	939.050 MiB
OG267	OG267.ilmn.221209	OG267.ilmn.221209.v129mh.fna	0 B
OG267	OG267.ilmn.230419	OG267.ilmn.230419.v129mh.fna	951.735 MiB
OG268	OG268.ilmn.221209	OG268.ilmn.221209.v129mh.fna	0 B
OG268	OG268.ilmn.230419	OG268.ilmn.230419.v129mh.fna	972.678 MiB
OG269	OG269.ilmn.221003	OG269.ilmn.221003.v129mh.fna	1.242 GiB
OG270	OG270.ilmn.221003	OG270.ilmn.221003.v129mh.fna	1.840 GiB
OG271	OG271.ilmn.221209	OG271.ilmn.221209.v129mh.fna	0 B
OG271	OG271.ilmn.230419	OG271.ilmn.230419.v129mh.fna	564.392 MiB
OG272	OG272.ilmn.221209	OG272.ilmn.221209.v129mh.fna	0 B
OG272	OG272.ilmn.230419	OG272.ilmn.230419.v129mh.fna	859.609 MiB
OG273	OG273.ilmn.221209	OG273.ilmn.221209.v129mh.fna	0 B
OG273	OG273.ilmn.230419	OG273.ilmn.230419.v129mh.fna	607.473 MiB
OG274	OG274.ilmn.221209	OG274.ilmn.221209.v129mh.fna	0 B
OG274	OG274.ilmn.230419	OG274.ilmn.230419.v129mh.fna	523.091 MiB
OG275	OG275.ilmn.221209	OG275.ilmn.221209.v129mh.fna	0 B
OG275	OG275.ilmn.230419	OG275.ilmn.230419.v129mh.fna	618.770 MiB
OG276	OG276.ilmn.221209	OG276.ilmn.221209.v129mh.fna	0 B
OG276	OG276.ilmn.230419	OG276.ilmn.230419.v129mh.fna	350.380 MiB
OG277	OG277.ilmn.221209	OG277.ilmn.221209.v129mh.fna	0 B
OG277	OG277.ilmn.230419	OG277.ilmn.230419.v129mh.fna	883.250 MiB
OG278	OG278.ilmn.221209	OG278.ilmn.221209.v129mh.fna	0 B
OG278	OG278.ilmn.230419	OG278.ilmn.230419.v129mh.fna	111.850 MiB
OG279	OG279.ilmn.221003	OG279.ilmn.221003.v129mh.fna	1.254 GiB
OG280	OG280.ilmn.230302	OG280.ilmn.230302.v129mh.fna	0 B
OG280	OG280.ilmn.230419	OG280.ilmn.230419.v129mh.fna	1012.927 MiB
OG281	OG281.ilmn.221209	OG281.ilmn.221209.v129mh.fna	0 B
OG281	OG281.ilmn.230419	OG281.ilmn.230419.v129mh.fna	753.045 MiB
OG282	OG282.ilmn.221003	OG282.ilmn.221003.v129mh.fna	971.975 MiB
OG283	OG283.ilmn.221003	OG283.ilmn.221003.v129mh.fna	1.455 GiB
OG284	OG284.ilmn.221003	OG284.ilmn.221003.v129mh.fna	961.400 MiB
OG285	OG285.ilmn.221003	OG285.ilmn.221003.v129mh.fna	928.606 MiB
OG286	OG286.ilmn.221209	OG286.ilmn.221209.v129mh.fna	0 B
OG286	OG286.ilmn.230419	OG286.ilmn.230419.v129mh.fna	723.594 MiB
OG287	OG287.ilmn.221209	OG287.ilmn.221209.v129mh.fna	0 B
OG287	OG287.ilmn.230419	OG287.ilmn.230419.v129mh.fna	771.710 MiB
OG288	OG288.ilmn.221209	OG288.ilmn.221209.v129mh.fna	0 B
OG288	OG288.ilmn.230419	OG288.ilmn.230419.v129mh.fna	798.346 MiB
OG289	OG289.ilmn.221209	OG289.ilmn.221209.v129mh.fna	0 B
OG289	OG289.ilmn.230419	OG289.ilmn.230419.v129mh.fna	802.036 MiB
OG290	OG290.ilmn.221209	OG290.ilmn.221209.v129mh.fna	0 B
OG290	OG290.ilmn.230419	OG290.ilmn.230419.v129mh.fna	714.827 MiB
OG291	OG291.ilmn.221209	OG291.ilmn.221209.v129mh.fna	0 B
OG291	OG291.ilmn.230419	OG291.ilmn.230419.v129mh.fna	703.293 MiB
OG292	OG292.ilmn.221209	OG292.ilmn.221209.v129mh.fna	0 B
OG292	OG292.ilmn.230419	OG292.ilmn.230419.v129mh.fna	766.344 MiB
OG293	OG293.ilmn.221209	OG293.ilmn.221209.v129mh.fna	0 B
OG293	OG293.ilmn.230419	OG293.ilmn.230419.v129mh.fna	696.032 MiB
OG294	OG294.ilmn.221003	OG294.ilmn.221003.v129mh.fna	1.122 GiB
OG295	OG295.ilmn.221003	OG295.ilmn.221003.v129mh.fna	1.081 GiB
OG296	OG296.ilmn.221003	OG296.ilmn.221003.v129mh.fna	1.321 GiB
OG297	OG297.ilmn.221003	OG297.ilmn.221003.v129mh.fna	1.099 GiB
OG298	OG298.ilmn.221003	OG298.ilmn.221003.v129mh.fna	1.223 GiB
OG299	OG299.ilmn.221209	OG299.ilmn.221209.v129mh.fna	0 B
OG299	OG299.ilmn.230419	OG299.ilmn.230419.v129mh.fna	540.341 MiB
OG300	OG300.ilmn.230324	OG300.ilmn.230324.v129mh.fna	1.187 GiB
OG301	OG301.ilmn.221115	OG301.ilmn.221115.v129mh.fna	707.690 MiB
OG302	OG302.ilmn.221115	OG302.ilmn.221115.v129mh.fna	713.113 MiB
OG303	OG303.ilmn.221123	OG303.ilmn.221123.v129mh.fna	664.800 MiB
OG304	OG304.ilmn.221123	OG304.ilmn.221123.v129mh.fna	587.945 MiB
OG305	OG305.ilmn.221115	OG305.ilmn.221115.v129mh.fna	768.383 MiB
OG306	OG306.ilmn.221123	OG306.ilmn.221123.v129mh.fna	562.785 MiB
OG307	OG307.ilmn.221115	OG307.ilmn.221115.v129mh.fna	705.309 MiB
OG308	OG308.ilmn.221123	OG308.ilmn.221123.v129mh.fna	594.841 MiB
OG309	OG309.ilmn.221123	OG309.ilmn.221123.v129mh.fna	1.099 GiB
OG310	OG310.ilmn.221123	OG310.ilmn.221123.v129mh.fna	592.845 MiB
